k vk error
3.200370000000000159e-01 6.016910000000000314e-03 5.424510000000000009e-04
3.297350000000000003e-01 6.412290000000000177e-03 4.637630000000000116e-04
3.394329999999999847e-01 7.122680000000000157e-03 6.087570000000000264e-04
3.491310000000000247e-01 6.760880000000000362e-03 5.656980000000000038e-04
3.588290000000000091e-01 6.606950000000000323e-03 4.730439999999999927e-04
3.685269999999999935e-01 7.005189999999999681e-03 7.078590000000000272e-04
3.782249999999999779e-01 7.703259999999999968e-03 6.961089999999999856e-04
3.879230000000000178e-01 7.664060000000000317e-03 7.461469999999999561e-04
3.976210000000000022e-01 7.984369999999999315e-03 7.038879999999999530e-04
4.073189999999999866e-01 7.662249999999999790e-03 8.685669999999999936e-04
4.170170000000000265e-01 7.906879999999999811e-03 8.353380000000000310e-04
4.267159999999999842e-01 7.349859999999999727e-03 7.435960000000000139e-04
4.364140000000000241e-01 7.416179999999999647e-03 7.887550000000000333e-04
4.461120000000000085e-01 7.849659999999999624e-03 9.560369999999999676e-04
4.558099999999999929e-01 7.376859999999999841e-03 8.373259999999999991e-04
4.655079999999999774e-01 6.979720000000000021e-03 7.829900000000000098e-04
4.752060000000000173e-01 6.298800000000000232e-03 5.684629999999999544e-04
4.849040000000000017e-01 5.783530000000000268e-03 5.523530000000000020e-04
4.946019999999999861e-01 5.494640000000000288e-03 6.802660000000000087e-04
5.042999999999999705e-01 5.451519999999999630e-03 5.220350000000000120e-04
5.139979999999999549e-01 4.864389999999999686e-03 4.163549999999999803e-04
5.236960000000000504e-01 4.120429999999999579e-03 2.876879999999999737e-04
5.333940000000000348e-01 3.745119999999999786e-03 3.407300000000000259e-04
5.430920000000000192e-01 3.601989999999999793e-03 3.712880000000000000e-04
5.527910000000000323e-01 3.584340000000000095e-03 3.587789999999999881e-04
5.624890000000000168e-01 3.622910000000000019e-03 3.716670000000000043e-04
5.721870000000000012e-01 3.420859999999999960e-03 3.314990000000000189e-04
5.818849999999999856e-01 3.114889999999999933e-03 3.307539999999999981e-04
5.915829999999999700e-01 2.763670000000000189e-03 2.915770000000000037e-04
6.012809999999999544e-01 3.044369999999999802e-03 2.862370000000000040e-04
6.109790000000000498e-01 3.098759999999999883e-03 3.336890000000000234e-04
6.206770000000000342e-01 2.795619999999999963e-03 2.771699999999999772e-04
6.303750000000000187e-01 2.677839999999999908e-03 2.783360000000000131e-04
6.400730000000000031e-01 2.492509999999999865e-03 2.272230000000000029e-04
6.497709999999999875e-01 2.296069999999999882e-03 2.593900000000000220e-04
6.594689999999999719e-01 2.157790000000000142e-03 2.588240000000000007e-04
6.691679999999999851e-01 2.131130000000000177e-03 1.992999999999999926e-04
6.788659999999999695e-01 1.863939999999999911e-03 1.918520000000000056e-04
6.885639999999999539e-01 1.956530000000000161e-03 2.480429999999999831e-04
6.982620000000000493e-01 2.168810000000000182e-03 2.788120000000000268e-04
7.079600000000000337e-01 2.215319999999999789e-03 2.308800000000000121e-04
7.176580000000000181e-01 2.320749999999999896e-03 2.159150000000000088e-04
7.273560000000000025e-01 2.263799999999999840e-03 2.714370000000000237e-04
7.370539999999999869e-01 2.357479999999999905e-03 3.216510000000000007e-04
7.467519999999999714e-01 2.308399999999999948e-03 2.636490000000000231e-04
7.564499999999999558e-01 2.218110000000000134e-03 2.241869999999999865e-04
7.661480000000000512e-01 2.155170000000000089e-03 2.303999999999999896e-04
7.758460000000000356e-01 2.105619999999999888e-03 2.738190000000000155e-04
7.855440000000000200e-01 2.212509999999999998e-03 3.247640000000000097e-04
7.952430000000000332e-01 2.097279999999999978e-03 2.845230000000000133e-04
8.049410000000000176e-01 1.991070000000000166e-03 3.055719999999999942e-04
8.146390000000000020e-01 1.991360000000000179e-03 2.305200000000000088e-04
8.243369999999999864e-01 1.928580000000000051e-03 2.286000000000000000e-04
8.340349999999999708e-01 1.895699999999999946e-03 2.473110000000000044e-04
8.437329999999999552e-01 1.871320000000000101e-03 1.983390000000000131e-04
