k vk err
3.546380000000000088e-01 4.573090000000000141e-03 4.242389999999999746e-04
3.655499999999999861e-01 3.922029999999999961e-03 4.135049999999999924e-04
3.764620000000000188e-01 3.747050000000000033e-03 3.452640000000000201e-04
3.873739999999999961e-01 3.652110000000000078e-03 3.463890000000000068e-04
3.982859999999999734e-01 3.371760000000000122e-03 2.661280000000000243e-04
4.091980000000000062e-01 3.581029999999999804e-03 2.839249999999999760e-04
4.201099999999999834e-01 3.273219999999999862e-03 2.703849999999999938e-04
4.310220000000000162e-01 3.778189999999999847e-03 3.449840000000000025e-04
4.419339999999999935e-01 5.030680000000000048e-03 4.506290000000000252e-04
4.528460000000000263e-01 6.246510000000000257e-03 5.293299999999999481e-04
4.637569999999999748e-01 6.651060000000000305e-03 5.086959999999999963e-04
4.746690000000000076e-01 6.781549999999999905e-03 5.537040000000000234e-04
4.855809999999999849e-01 6.654809999999999719e-03 4.484499999999999771e-04
4.964930000000000176e-01 6.232490000000000252e-03 3.978830000000000257e-04
5.074049999999999949e-01 5.530300000000000146e-03 4.537400000000000027e-04
5.183170000000000277e-01 5.043820000000000074e-03 3.728180000000000209e-04
5.292289999999999495e-01 4.812259999999999628e-03 3.405109999999999929e-04
5.401409999999999823e-01 4.238419999999999688e-03 2.868789999999999752e-04
5.510530000000000150e-01 3.843849999999999784e-03 2.172630000000000102e-04
5.619650000000000478e-01 3.696660000000000050e-03 2.131070000000000045e-04
5.728769999999999696e-01 2.987150000000000048e-03 1.963430000000000004e-04
5.837890000000000024e-01 2.354849999999999912e-03 1.829219999999999945e-04
5.947010000000000352e-01 2.274710000000000100e-03 1.968069999999999878e-04
6.056129999999999569e-01 1.962690000000000008e-03 1.658300000000000030e-04
6.165249999999999897e-01 1.927310000000000004e-03 1.436739999999999936e-04
6.274370000000000225e-01 2.109629999999999925e-03 1.807640000000000061e-04
6.383480000000000265e-01 2.676580000000000018e-03 2.337309999999999887e-04
6.492599999999999483e-01 3.387450000000000183e-03 3.229609999999999729e-04
6.601719999999999811e-01 4.281919999999999824e-03 4.781179999999999783e-04
6.710840000000000138e-01 4.725599999999999939e-03 4.967640000000000163e-04
6.819960000000000466e-01 4.115360000000000198e-03 4.154370000000000003e-04
6.929079999999999684e-01 3.123449999999999838e-03 3.017669999999999858e-04
7.038200000000000012e-01 2.186770000000000207e-03 2.260239999999999895e-04
7.147320000000000340e-01 1.752410000000000035e-03 1.802340000000000094e-04
7.256439999999999557e-01 1.722020000000000104e-03 1.777450000000000134e-04
7.365559999999999885e-01 1.632420000000000095e-03 1.952319999999999902e-04
7.474680000000000213e-01 1.592569999999999967e-03 1.991410000000000098e-04
7.583800000000000541e-01 1.614100000000000040e-03 1.883649999999999897e-04
7.692919999999999758e-01 1.646139999999999930e-03 1.927440000000000099e-04
7.802040000000000086e-01 1.739740000000000036e-03 1.880379999999999910e-04
7.911160000000000414e-01 1.932759999999999947e-03 2.283660000000000019e-04
8.020279999999999632e-01 2.157619999999999851e-03 2.649649999999999814e-04
8.129399999999999959e-01 2.246929999999999848e-03 2.645789999999999752e-04
8.238510000000000000e-01 2.435029999999999920e-03 2.738150000000000067e-04
8.347630000000000328e-01 2.273739999999999789e-03 2.607439999999999823e-04
8.456749999999999545e-01 2.072640000000000159e-03 2.346290000000000062e-04
8.565869999999999873e-01 1.744080000000000066e-03 2.188860000000000046e-04
8.674990000000000201e-01 1.783800000000000099e-03 2.293370000000000033e-04
8.784110000000000529e-01 1.854490000000000088e-03 2.183289999999999894e-04
8.893229999999999746e-01 1.862799999999999959e-03 2.392619999999999871e-04
9.002350000000000074e-01 1.792710000000000093e-03 2.274300000000000095e-04
9.111470000000000402e-01 1.737720000000000107e-03 2.087690000000000064e-04
9.220589999999999620e-01 1.573570000000000047e-03 1.907660000000000096e-04
9.329709999999999948e-01 1.645109999999999975e-03 1.827579999999999873e-04
9.438830000000000275e-01 1.715869999999999982e-03 1.755729999999999943e-04
9.547949999999999493e-01 1.688070000000000065e-03 1.879709999999999931e-04
9.657069999999999821e-01 1.668479999999999963e-03 1.834750000000000009e-04
9.766190000000000149e-01 1.551590000000000044e-03 1.729599999999999974e-04
9.875310000000000477e-01 1.516699999999999949e-03 1.677129999999999984e-04
9.984429999999999694e-01 1.519710000000000071e-03 1.671099999999999908e-04
